pair,her_age,her_field,her_race,her_racepref,her_religpref,her_income,her_goal,her_datefreq,her_outfreq,her_optimism,her_wantattr,her_wantsinc,her_wantintel,her_wantfun,her_wantamb,her_wantshar,her_selfattr,her_selfsinc,her_selffun,her_selfintel,her_selfamb,his_age,his_field,his_race,his_racepref,his_religpref,his_income,his_goal,his_datefreq,his_outfreq,his_optimism,his_wantattr,his_wantsinc,his_wantintel,his_wantfun,his_wantamb,his_wantshar,his_selfattr,his_selfsinc,his_selffun,his_selfintel,his_selfamb,her_dec,his_dec,wave,samerace,interests,match,her_noincome,his_noincome,agegap,agediff,her_fit,his_fit,passions,samefield,samecareer,samegoal,outgap,dategap,racepref_max,religpref_max,fold
"(2, 11)",24.0,1.0,2.0,2.0,5.0,65929.0,1.0,5.0,1.0,4.0,45.0,5.0,25.0,20.0,0.0,5.0,7.0,5.0,10.0,8.0,3.0,27.0,8.0,2.0,7.0,3.0,,1.0,5.0,4.0,7.0,35.0,20.0,20.0,20.0,0.0,5.0,8.0,9.0,7.0,8.0,5.0,0,0,1,1,0.29,0,0,1,3.0,-3.0,7.45,7.05,3,0,0,1,3.0,0.0,7.0,5.0,1
"(2, 12)",24.0,1.0,2.0,2.0,5.0,65929.0,1.0,5.0,1.0,4.0,45.0,5.0,25.0,20.0,0.0,5.0,7.0,5.0,10.0,8.0,3.0,22.0,1.0,2.0,1.0,1.0,29237.0,1.0,1.0,1.0,7.0,60.0,0.0,0.0,40.0,0.0,0.0,9.0,9.0,9.0,10.0,9.0,0,0,1,1,0.18,0,0,0,2.0,2.0,8.8,8.2,2,1,0,1,0.0,4.0,2.0,5.0,1
"(2, 13)",24.0,1.0,2.0,2.0,5.0,65929.0,1.0,5.0,1.0,4.0,45.0,5.0,25.0,20.0,0.0,5.0,7.0,5.0,10.0,8.0,3.0,22.0,1.0,4.0,3.0,5.0,,2.0,7.0,1.0,3.0,19.0,18.0,19.0,18.0,14.0,12.0,4.0,7.0,8.0,8.0,3.0,0,1,1,0,0.1,0,0,1,2.0,2.0,5.75,5.97,4,1,0,0,0.0,2.0,3.0,5.0,1
"(2, 14)",24.0,1.0,2.0,2.0,5.0,65929.0,1.0,5.0,1.0,4.0,45.0,5.0,25.0,20.0,0.0,5.0,7.0,5.0,10.0,8.0,3.0,23.0,1.0,2.0,1.0,1.0,56580.0,2.0,4.0,1.0,8.0,30.0,5.0,15.0,40.0,5.0,5.0,9.0,9.0,9.0,9.0,9.0,1,1,1,1,-0.21,1,0,0,1.0,1.0,8.55,7.7,4,1,0,0,0.0,1.0,2.0,5.0,1
"(2, 15)",24.0,1.0,2.0,2.0,5.0,65929.0,1.0,5.0,1.0,4.0,45.0,5.0,25.0,20.0,0.0,5.0,7.0,5.0,10.0,8.0,3.0,24.0,1.0,3.0,3.0,1.0,36782.0,1.0,4.0,1.0,5.0,30.0,10.0,20.0,10.0,10.0,20.0,7.0,7.0,7.0,9.0,9.0,0,1,1,0,0.32,0,0,0,0.0,0.0,7.15,5.5,4,1,0,1,0.0,1.0,3.0,5.0,1
"(2, 16)",24.0,1.0,2.0,2.0,5.0,65929.0,1.0,5.0,1.0,4.0,45.0,5.0,25.0,20.0,0.0,5.0,7.0,5.0,10.0,8.0,3.0,25.0,8.0,2.0,9.0,2.0,,1.0,5.0,1.0,7.0,50.0,0.0,30.0,10.0,0.0,10.0,6.0,6.0,8.0,8.0,6.0,0,1,1,1,0.73,0,0,1,1.0,-1.0,6.6,6.9,3,0,0,1,0.0,0.0,9.0,5.0,1
"(2, 17)",24.0,1.0,2.0,2.0,5.0,65929.0,1.0,5.0,1.0,4.0,45.0,5.0,25.0,20.0,0.0,5.0,7.0,5.0,10.0,8.0,3.0,30.0,13.0,2.0,1.0,1.0,38548.0,3.0,3.0,2.0,4.0,35.0,15.0,25.0,10.0,5.0,10.0,7.0,7.0,6.0,8.0,4.0,1,0,1,1,0.6,0,0,0,6.0,-6.0,6.7,6.35,1,0,0,0,1.0,2.0,2.0,5.0,1
"(2, 18)",24.0,1.0,2.0,2.0,5.0,65929.0,1.0,5.0,1.0,4.0,45.0,5.0,25.0,20.0,0.0,5.0,7.0,5.0,10.0,8.0,3.0,27.0,8.0,2.0,8.0,8.0,52010.0,1.0,6.0,1.0,5.0,33.33,11.11,11.11,11.11,11.11,22.22,6.0,8.0,6.0,8.0,9.0,0,1,1,1,0.07,0,0,0,3.0,-3.0,6.3,5.221700000000001,2,0,0,1,0.0,1.0,8.0,8.0,1
"(2, 19)",24.0,1.0,2.0,2.0,5.0,65929.0,1.0,5.0,1.0,4.0,45.0,5.0,25.0,20.0,0.0,5.0,7.0,5.0,10.0,8.0,3.0,28.0,8.0,2.0,1.0,1.0,,4.0,1.0,1.0,10.0,50.0,0.0,25.0,10.0,0.0,15.0,10.0,6.0,10.0,10.0,10.0,1,1,1,1,0.11,1,0,1,4.0,-4.0,9.3,6.5,3,0,0,0,0.0,4.0,2.0,5.0,1
"(2, 20)",24.0,1.0,2.0,2.0,5.0,65929.0,1.0,5.0,1.0,4.0,45.0,5.0,25.0,20.0,0.0,5.0,7.0,5.0,10.0,8.0,3.0,24.0,8.0,2.0,1.0,1.0,,1.0,1.0,1.0,6.0,100.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,10.0,10.0,10.0,1,0,1,1,0.39,0,0,1,0.0,0.0,8.0,7.0,6,0,0,1,0.0,4.0,2.0,5.0,1
"(3, 11)",25.0,2.0,2.0,8.0,4.0,,6.0,3.0,1.0,4.0,35.0,10.0,35.0,10.0,10.0,0.0,8.0,9.0,8.0,9.0,8.0,27.0,8.0,2.0,7.0,3.0,,1.0,5.0,4.0,7.0,35.0,20.0,20.0,20.0,0.0,5.0,8.0,9.0,7.0,8.0,5.0,0,0,1,1,-0.24,0,1,1,2.0,-2.0,7.7,8.0,0,0,0,0,3.0,2.0,8.0,4.0,1
"(3, 12)",25.0,2.0,2.0,8.0,4.0,,6.0,3.0,1.0,4.0,35.0,10.0,35.0,10.0,10.0,0.0,8.0,9.0,8.0,9.0,8.0,22.0,1.0,2.0,1.0,1.0,29237.0,1.0,1.0,1.0,7.0,60.0,0.0,0.0,40.0,0.0,0.0,9.0,9.0,9.0,10.0,9.0,0,0,1,1,-0.14,0,1,0,3.0,3.0,9.35,8.0,1,0,0,0,0.0,2.0,8.0,4.0,1
"(3, 13)",25.0,2.0,2.0,8.0,4.0,,6.0,3.0,1.0,4.0,35.0,10.0,35.0,10.0,10.0,0.0,8.0,9.0,8.0,9.0,8.0,22.0,1.0,4.0,3.0,5.0,,2.0,7.0,1.0,3.0,19.0,18.0,19.0,18.0,14.0,12.0,4.0,7.0,8.0,8.0,3.0,0,1,1,0,0.09,0,1,1,3.0,3.0,6.0,7.41,4,0,0,0,0.0,4.0,8.0,5.0,1
"(3, 14)",25.0,2.0,2.0,8.0,4.0,,6.0,3.0,1.0,4.0,35.0,10.0,35.0,10.0,10.0,0.0,8.0,9.0,8.0,9.0,8.0,23.0,1.0,2.0,1.0,1.0,56580.0,2.0,4.0,1.0,8.0,30.0,5.0,15.0,40.0,5.0,5.0,9.0,9.0,9.0,9.0,9.0,0,1,1,1,-0.04,0,1,0,2.0,2.0,9.0,7.8,2,0,0,0,0.0,1.0,8.0,4.0,1
"(3, 15)",25.0,2.0,2.0,8.0,4.0,,6.0,3.0,1.0,4.0,35.0,10.0,35.0,10.0,10.0,0.0,8.0,9.0,8.0,9.0,8.0,24.0,1.0,3.0,3.0,1.0,36782.0,1.0,4.0,1.0,5.0,30.0,10.0,20.0,10.0,10.0,20.0,7.0,7.0,7.0,9.0,9.0,0,1,1,0,-0.14,0,1,0,1.0,1.0,7.9,6.7,0,0,0,0,0.0,1.0,8.0,4.0,1
"(3, 16)",25.0,2.0,2.0,8.0,4.0,,6.0,3.0,1.0,4.0,35.0,10.0,35.0,10.0,10.0,0.0,8.0,9.0,8.0,9.0,8.0,25.0,8.0,2.0,9.0,2.0,,1.0,5.0,1.0,7.0,50.0,0.0,30.0,10.0,0.0,10.0,6.0,6.0,8.0,8.0,6.0,0,1,1,1,-0.3,0,1,1,0.0,0.0,6.9,7.5,0,0,0,0,0.0,2.0,9.0,4.0,1
"(3, 17)",25.0,2.0,2.0,8.0,4.0,,6.0,3.0,1.0,4.0,35.0,10.0,35.0,10.0,10.0,0.0,8.0,9.0,8.0,9.0,8.0,30.0,13.0,2.0,1.0,1.0,38548.0,3.0,3.0,2.0,4.0,35.0,15.0,25.0,10.0,5.0,10.0,7.0,7.0,6.0,8.0,4.0,0,0,1,1,-0.26,0,1,0,5.0,-5.0,6.95,7.6,0,0,0,0,1.0,0.0,8.0,4.0,1
"(3, 18)",25.0,2.0,2.0,8.0,4.0,,6.0,3.0,1.0,4.0,35.0,10.0,35.0,10.0,10.0,0.0,8.0,9.0,8.0,9.0,8.0,27.0,8.0,2.0,8.0,8.0,52010.0,1.0,6.0,1.0,5.0,33.33,11.11,11.11,11.11,11.11,22.22,6.0,8.0,6.0,8.0,9.0,0,0,1,1,0.29,0,1,0,2.0,-2.0,7.2,6.4437999999999995,2,0,0,0,0.0,3.0,8.0,8.0,1
"(3, 19)",25.0,2.0,2.0,8.0,4.0,,6.0,3.0,1.0,4.0,35.0,10.0,35.0,10.0,10.0,0.0,8.0,9.0,8.0,9.0,8.0,28.0,8.0,2.0,1.0,1.0,,4.0,1.0,1.0,10.0,50.0,0.0,25.0,10.0,0.0,15.0,10.0,6.0,10.0,10.0,10.0,0,1,1,1,-0.15,0,1,1,3.0,-3.0,9.6,7.05,2,0,0,0,0.0,2.0,8.0,4.0,1
"(3, 20)",25.0,2.0,2.0,8.0,4.0,,6.0,3.0,1.0,4.0,35.0,10.0,35.0,10.0,10.0,0.0,8.0,9.0,8.0,9.0,8.0,24.0,8.0,2.0,1.0,1.0,,1.0,1.0,1.0,6.0,100.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,10.0,10.0,10.0,0,0,1,1,-0.47,0,1,1,1.0,1.0,8.65,8.0,2,0,0,0,0.0,2.0,8.0,4.0,1
"(4, 11)",23.0,1.0,2.0,1.0,1.0,37754.0,1.0,5.0,1.0,1.0,20.0,20.0,20.0,20.0,10.0,10.0,7.0,8.0,9.0,7.0,8.0,27.0,8.0,2.0,7.0,3.0,,1.0,5.0,4.0,7.0,35.0,20.0,20.0,20.0,0.0,5.0,8.0,9.0,7.0,8.0,5.0,0,0,1,1,-0.18,0,0,1,4.0,-4.0,6.9,7.25,0,0,0,1,3.0,0.0,7.0,3.0,1
"(4, 12)",23.0,1.0,2.0,1.0,1.0,37754.0,1.0,5.0,1.0,1.0,20.0,20.0,20.0,20.0,10.0,10.0,7.0,8.0,9.0,7.0,8.0,22.0,1.0,2.0,1.0,1.0,29237.0,1.0,1.0,1.0,7.0,60.0,0.0,0.0,40.0,0.0,0.0,9.0,9.0,9.0,10.0,9.0,0,0,1,1,-0.18,0,0,0,1.0,1.0,8.3,7.8,0,1,1,1,0.0,4.0,1.0,1.0,1
"(4, 13)",23.0,1.0,2.0,1.0,1.0,37754.0,1.0,5.0,1.0,1.0,20.0,20.0,20.0,20.0,10.0,10.0,7.0,8.0,9.0,7.0,8.0,22.0,1.0,4.0,3.0,5.0,,2.0,7.0,1.0,3.0,19.0,18.0,19.0,18.0,14.0,12.0,4.0,7.0,8.0,8.0,3.0,0,1,1,0,0.05,0,0,1,1.0,1.0,5.7,6.84,2,1,1,0,0.0,2.0,3.0,5.0,1
"(4, 14)",23.0,1.0,2.0,1.0,1.0,37754.0,1.0,5.0,1.0,1.0,20.0,20.0,20.0,20.0,10.0,10.0,7.0,8.0,9.0,7.0,8.0,23.0,1.0,2.0,1.0,1.0,56580.0,2.0,4.0,1.0,8.0,30.0,5.0,15.0,40.0,5.0,5.0,9.0,9.0,9.0,9.0,9.0,1,1,1,1,-0.18,1,0,0,0.0,0.0,8.1,7.55,0,1,1,0,0.0,1.0,1.0,1.0,1
"(4, 15)",23.0,1.0,2.0,1.0,1.0,37754.0,1.0,5.0,1.0,1.0,20.0,20.0,20.0,20.0,10.0,10.0,7.0,8.0,9.0,7.0,8.0,24.0,1.0,3.0,3.0,1.0,36782.0,1.0,4.0,1.0,5.0,30.0,10.0,20.0,10.0,10.0,20.0,7.0,7.0,7.0,9.0,9.0,0,1,1,0,0.21,0,0,0,1.0,-1.0,6.9,6.0,1,1,1,1,0.0,1.0,3.0,1.0,1
"(4, 16)",23.0,1.0,2.0,1.0,1.0,37754.0,1.0,5.0,1.0,1.0,20.0,20.0,20.0,20.0,10.0,10.0,7.0,8.0,9.0,7.0,8.0,25.0,8.0,2.0,9.0,2.0,,1.0,5.0,1.0,7.0,50.0,0.0,30.0,10.0,0.0,10.0,6.0,6.0,8.0,8.0,6.0,0,1,1,1,0.37,0,0,1,2.0,-2.0,6.2,6.5,0,0,0,1,0.0,0.0,9.0,2.0,1
"(4, 17)",23.0,1.0,2.0,1.0,1.0,37754.0,1.0,5.0,1.0,1.0,20.0,20.0,20.0,20.0,10.0,10.0,7.0,8.0,9.0,7.0,8.0,30.0,13.0,2.0,1.0,1.0,38548.0,3.0,3.0,2.0,4.0,35.0,15.0,25.0,10.0,5.0,10.0,7.0,7.0,6.0,8.0,4.0,0,1,1,1,0.35,0,0,0,7.0,-7.0,6.0,6.7,0,0,0,0,1.0,2.0,1.0,1.0,1
"(4, 18)",23.0,1.0,2.0,1.0,1.0,37754.0,1.0,5.0,1.0,1.0,20.0,20.0,20.0,20.0,10.0,10.0,7.0,8.0,9.0,7.0,8.0,27.0,8.0,2.0,8.0,8.0,52010.0,1.0,6.0,1.0,5.0,33.33,11.11,11.11,11.11,11.11,22.22,6.0,8.0,6.0,8.0,9.0,0,0,1,1,0.15,0,0,0,4.0,-4.0,6.5,5.888299999999999,0,0,0,1,0.0,1.0,8.0,8.0,1
"(4, 19)",23.0,1.0,2.0,1.0,1.0,37754.0,1.0,5.0,1.0,1.0,20.0,20.0,20.0,20.0,10.0,10.0,7.0,8.0,9.0,7.0,8.0,28.0,8.0,2.0,1.0,1.0,,4.0,1.0,1.0,10.0,50.0,0.0,25.0,10.0,0.0,15.0,10.0,6.0,10.0,10.0,10.0,1,1,1,1,-0.47,1,0,1,5.0,-5.0,8.2,6.15,1,0,0,0,0.0,4.0,1.0,1.0,1
"(4, 20)",23.0,1.0,2.0,1.0,1.0,37754.0,1.0,5.0,1.0,1.0,20.0,20.0,20.0,20.0,10.0,10.0,7.0,8.0,9.0,7.0,8.0,24.0,8.0,2.0,1.0,1.0,,1.0,1.0,1.0,6.0,100.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,10.0,10.0,10.0,1,0,1,1,-0.19,0,0,1,1.0,-1.0,7.8,7.0,2,0,0,1,0.0,4.0,1.0,1.0,1
"(5, 11)",21.0,1.0,2.0,8.0,1.0,86340.0,2.0,4.0,1.0,7.0,20.0,5.0,25.0,25.0,10.0,15.0,6.0,3.0,6.0,10.0,8.0,27.0,8.0,2.0,7.0,3.0,,1.0,5.0,4.0,7.0,35.0,20.0,20.0,20.0,0.0,5.0,8.0,9.0,7.0,8.0,5.0,0,0,1,1,-0.43,0,0,1,6.0,-6.0,6.3,5.9,0,0,0,0,3.0,1.0,8.0,3.0,1
"(5, 12)",21.0,1.0,2.0,8.0,1.0,86340.0,2.0,4.0,1.0,7.0,20.0,5.0,25.0,25.0,10.0,15.0,6.0,3.0,6.0,10.0,8.0,22.0,1.0,2.0,1.0,1.0,29237.0,1.0,1.0,1.0,7.0,60.0,0.0,0.0,40.0,0.0,0.0,9.0,9.0,9.0,10.0,9.0,0,0,1,1,0.0,0,0,0,1.0,-1.0,7.9,6.0,0,1,1,0,0.0,3.0,8.0,1.0,1
"(5, 13)",21.0,1.0,2.0,8.0,1.0,86340.0,2.0,4.0,1.0,7.0,20.0,5.0,25.0,25.0,10.0,15.0,6.0,3.0,6.0,10.0,8.0,22.0,1.0,4.0,3.0,5.0,,2.0,7.0,1.0,3.0,19.0,18.0,19.0,18.0,14.0,12.0,4.0,7.0,8.0,8.0,3.0,0,1,1,0,-0.17,0,0,1,1.0,-1.0,5.45,5.78,2,1,1,1,0.0,3.0,8.0,5.0,1
"(5, 14)",21.0,1.0,2.0,8.0,1.0,86340.0,2.0,4.0,1.0,7.0,20.0,5.0,25.0,25.0,10.0,15.0,6.0,3.0,6.0,10.0,8.0,23.0,1.0,2.0,1.0,1.0,56580.0,2.0,4.0,1.0,8.0,30.0,5.0,15.0,40.0,5.0,5.0,9.0,9.0,9.0,9.0,9.0,1,1,1,1,0.08,1,0,0,2.0,-2.0,7.65,6.25,1,1,1,1,0.0,0.0,8.0,1.0,1
"(5, 15)",21.0,1.0,2.0,8.0,1.0,86340.0,2.0,4.0,1.0,7.0,20.0,5.0,25.0,25.0,10.0,15.0,6.0,3.0,6.0,10.0,8.0,24.0,1.0,3.0,3.0,1.0,36782.0,1.0,4.0,1.0,5.0,30.0,10.0,20.0,10.0,10.0,20.0,7.0,7.0,7.0,9.0,9.0,0,0,1,0,-0.16,0,0,0,3.0,-3.0,6.65,5.5,1,1,1,0,0.0,0.0,8.0,1.0,1
"(5, 16)",21.0,1.0,2.0,8.0,1.0,86340.0,2.0,4.0,1.0,7.0,20.0,5.0,25.0,25.0,10.0,15.0,6.0,3.0,6.0,10.0,8.0,25.0,8.0,2.0,9.0,2.0,,1.0,5.0,1.0,7.0,50.0,0.0,30.0,10.0,0.0,10.0,6.0,6.0,8.0,8.0,6.0,1,0,1,1,0.06,0,0,1,4.0,-4.0,6.1,6.6,0,0,0,0,0.0,1.0,9.0,2.0,1
"(5, 17)",21.0,1.0,2.0,8.0,1.0,86340.0,2.0,4.0,1.0,7.0,20.0,5.0,25.0,25.0,10.0,15.0,6.0,3.0,6.0,10.0,8.0,30.0,13.0,2.0,1.0,1.0,38548.0,3.0,3.0,2.0,4.0,35.0,15.0,25.0,10.0,5.0,10.0,7.0,7.0,6.0,8.0,4.0,1,0,1,1,-0.05,0,0,0,9.0,-9.0,5.65,6.05,0,0,0,0,1.0,1.0,8.0,1.0,1
"(5, 18)",21.0,1.0,2.0,8.0,1.0,86340.0,2.0,4.0,1.0,7.0,20.0,5.0,25.0,25.0,10.0,15.0,6.0,3.0,6.0,10.0,8.0,27.0,8.0,2.0,8.0,8.0,52010.0,1.0,6.0,1.0,5.0,33.33,11.11,11.11,11.11,11.11,22.22,6.0,8.0,6.0,8.0,9.0,1,0,1,1,0.07,0,0,0,6.0,-6.0,6.0,4.999499999999999,1,0,0,0,0.0,2.0,8.0,8.0,1
"(5, 19)",21.0,1.0,2.0,8.0,1.0,86340.0,2.0,4.0,1.0,7.0,20.0,5.0,25.0,25.0,10.0,15.0,6.0,3.0,6.0,10.0,8.0,28.0,8.0,2.0,1.0,1.0,,4.0,1.0,1.0,10.0,50.0,0.0,25.0,10.0,0.0,15.0,10.0,6.0,10.0,10.0,10.0,1,1,1,1,-0.13,1,0,1,7.0,-7.0,8.3,6.1,1,0,0,0,0.0,3.0,8.0,1.0,1
"(5, 20)",21.0,1.0,2.0,8.0,1.0,86340.0,2.0,4.0,1.0,7.0,20.0,5.0,25.0,25.0,10.0,15.0,6.0,3.0,6.0,10.0,8.0,24.0,8.0,2.0,1.0,1.0,,1.0,1.0,1.0,6.0,100.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,10.0,10.0,10.0,1,0,1,1,-0.06,0,0,1,3.0,-3.0,7.75,6.0,2,0,0,0,0.0,3.0,8.0,1.0,1
"(6, 11)",23.0,1.0,4.0,1.0,1.0,60304.0,1.0,3.0,1.0,4.0,10.0,25.0,20.0,25.0,5.0,15.0,5.0,7.0,8.0,9.0,5.0,27.0,8.0,2.0,7.0,3.0,,1.0,5.0,4.0,7.0,35.0,20.0,20.0,20.0,0.0,5.0,8.0,9.0,7.0,8.0,5.0,1,0,1,0,0.33,0,0,1,4.0,-4.0,6.65,6.55,2,0,0,1,3.0,2.0,7.0,3.0,1
"(6, 12)",23.0,1.0,4.0,1.0,1.0,60304.0,1.0,3.0,1.0,4.0,10.0,25.0,20.0,25.0,5.0,15.0,5.0,7.0,8.0,9.0,5.0,22.0,1.0,2.0,1.0,1.0,29237.0,1.0,1.0,1.0,7.0,60.0,0.0,0.0,40.0,0.0,0.0,9.0,9.0,9.0,10.0,9.0,1,0,1,0,0.37,0,0,0,1.0,1.0,7.85,6.2,2,1,1,1,0.0,2.0,1.0,1.0,1
"(6, 13)",23.0,1.0,4.0,1.0,1.0,60304.0,1.0,3.0,1.0,4.0,10.0,25.0,20.0,25.0,5.0,15.0,5.0,7.0,8.0,9.0,5.0,22.0,1.0,4.0,3.0,5.0,,2.0,7.0,1.0,3.0,19.0,18.0,19.0,18.0,14.0,12.0,4.0,7.0,8.0,8.0,3.0,0,1,1,1,-0.51,0,0,1,1.0,1.0,5.9,6.06,1,1,1,0,0.0,4.0,3.0,5.0,1
"(6, 14)",23.0,1.0,4.0,1.0,1.0,60304.0,1.0,3.0,1.0,4.0,10.0,25.0,20.0,25.0,5.0,15.0,5.0,7.0,8.0,9.0,5.0,23.0,1.0,2.0,1.0,1.0,56580.0,2.0,4.0,1.0,8.0,30.0,5.0,15.0,40.0,5.0,5.0,9.0,9.0,9.0,9.0,9.0,1,1,1,0,0.12,1,0,0,0.0,0.0,7.65,6.65,3,1,1,0,0.0,1.0,1.0,1.0,1
"(6, 15)",23.0,1.0,4.0,1.0,1.0,60304.0,1.0,3.0,1.0,4.0,10.0,25.0,20.0,25.0,5.0,15.0,5.0,7.0,8.0,9.0,5.0,24.0,1.0,3.0,3.0,1.0,36782.0,1.0,4.0,1.0,5.0,30.0,10.0,20.0,10.0,10.0,20.0,7.0,7.0,7.0,9.0,9.0,0,1,1,0,0.35,0,0,0,1.0,-1.0,6.45,5.3,3,1,1,1,0.0,1.0,3.0,1.0,1
"(6, 16)",23.0,1.0,4.0,1.0,1.0,60304.0,1.0,3.0,1.0,4.0,10.0,25.0,20.0,25.0,5.0,15.0,5.0,7.0,8.0,9.0,5.0,25.0,8.0,2.0,9.0,2.0,,1.0,5.0,1.0,7.0,50.0,0.0,30.0,10.0,0.0,10.0,6.0,6.0,8.0,8.0,6.0,0,1,1,0,0.19,0,0,1,2.0,-2.0,6.0,6.0,1,0,0,1,0.0,2.0,9.0,2.0,1
